well_id,x,y,z,time_days,time_years,concentration_observed_mg_L,above_detection_limit,detection_limit_mg_L,eval_split
W01,300.0,230.0,221.15238095238095,1095.0,3.0,0.0,False,0.005,public_noisy_censored_mixed_times
W01,300.0,230.0,221.15238095238095,1197.1999999999998,3.2799999999999994,0.008778502562439418,True,0.005,public_noisy_censored_mixed_times
W01,300.0,230.0,221.15238095238095,1324.95,3.6300000000000003,0.02126104272489925,True,0.005,public_noisy_censored_mixed_times
W01,300.0,230.0,221.15238095238095,1478.25,4.05,0.034505470877413034,True,0.005,public_noisy_censored_mixed_times
W01,300.0,230.0,221.15238095238095,1631.55,4.47,0.05650428565492241,True,0.005,public_noisy_censored_mixed_times
W01,300.0,230.0,221.15238095238095,1799.4499999999998,4.93,0.07659691779116362,True,0.005,public_noisy_censored_mixed_times
W01,300.0,230.0,221.15238095238095,1956.4,5.36,0.12425870500027167,True,0.005,public_noisy_censored_mixed_times
W01,300.0,230.0,221.15238095238095,2146.2,5.88,0.1797310519078998,True,0.005,public_noisy_censored_mixed_times
W01,300.0,230.0,221.15238095238095,2339.65,6.41,0.20927450879500328,True,0.005,public_noisy_censored_mixed_times
W01,300.0,230.0,221.15238095238095,2562.2999999999997,7.02,0.284883116552392,True,0.005,public_noisy_censored_mixed_times
W01,300.0,230.0,221.15238095238095,2825.1,7.739999999999999,0.2707750896926812,True,0.005,public_noisy_censored_mixed_times
W01,300.0,230.0,221.15238095238095,3120.7500000000005,8.55,0.4276560595538641,True,0.005,public_noisy_censored_mixed_times
W01,300.0,230.0,221.15238095238095,3412.75,9.35,0.4952780767619361,True,0.005,public_noisy_censored_mixed_times
W01,300.0,230.0,221.15238095238095,3796.0,10.4,0.5153665553362539,True,0.005,public_noisy_censored_mixed_times
W01,300.0,230.0,221.15238095238095,4270.5,11.7,0.597823084907199,True,0.005,public_noisy_censored_mixed_times
W01,300.0,230.0,221.15238095238095,4836.25,13.25,0.5528969182913033,True,0.005,public_noisy_censored_mixed_times
W02,380.0,230.0,221.24761904761903,1095.0,3.0,0.0,False,0.005,public_noisy_censored_mixed_times
W02,380.0,230.0,221.24761904761903,1197.1999999999998,3.2799999999999994,0.0,False,0.005,public_noisy_censored_mixed_times
W02,380.0,230.0,221.24761904761903,1324.95,3.6300000000000003,0.0,False,0.005,public_noisy_censored_mixed_times
W02,380.0,230.0,221.24761904761903,1478.25,4.05,0.0,False,0.005,public_noisy_censored_mixed_times
W02,380.0,230.0,221.24761904761903,1631.55,4.47,0.0,False,0.005,public_noisy_censored_mixed_times
W02,380.0,230.0,221.24761904761903,1799.4499999999998,4.93,0.0,False,0.005,public_noisy_censored_mixed_times
W02,380.0,230.0,221.24761904761903,1956.4,5.36,0.0,False,0.005,public_noisy_censored_mixed_times
W02,380.0,230.0,221.24761904761903,2146.2,5.88,0.009599955498988736,True,0.005,public_noisy_censored_mixed_times
W02,380.0,230.0,221.24761904761903,2339.65,6.41,0.0,False,0.005,public_noisy_censored_mixed_times
W02,380.0,230.0,221.24761904761903,2562.2999999999997,7.02,0.027043155225458436,True,0.005,public_noisy_censored_mixed_times
W02,380.0,230.0,221.24761904761903,2825.1,7.739999999999999,0.04224485903339943,True,0.005,public_noisy_censored_mixed_times
W02,380.0,230.0,221.24761904761903,3120.7500000000005,8.55,0.10296191472328291,True,0.005,public_noisy_censored_mixed_times
W02,380.0,230.0,221.24761904761903,3412.75,9.35,0.08296702236766285,True,0.005,public_noisy_censored_mixed_times
W02,380.0,230.0,221.24761904761903,3796.0,10.4,0.22704948579346834,True,0.005,public_noisy_censored_mixed_times
W02,380.0,230.0,221.24761904761903,4270.5,11.7,0.31607972524372646,True,0.005,public_noisy_censored_mixed_times
W02,380.0,230.0,221.24761904761903,4836.25,13.25,0.4308471659214729,True,0.005,public_noisy_censored_mixed_times
W03,460.0,240.0,221.29999999999998,1095.0,3.0,0.0,False,0.005,public_noisy_censored_mixed_times
W03,460.0,240.0,221.29999999999998,1197.1999999999998,3.2799999999999994,0.0,False,0.005,public_noisy_censored_mixed_times
W03,460.0,240.0,221.29999999999998,1324.95,3.6300000000000003,0.0,False,0.005,public_noisy_censored_mixed_times
W03,460.0,240.0,221.29999999999998,1478.25,4.05,0.0,False,0.005,public_noisy_censored_mixed_times
W03,460.0,240.0,221.29999999999998,1631.55,4.47,0.0,False,0.005,public_noisy_censored_mixed_times
W03,460.0,240.0,221.29999999999998,1799.4499999999998,4.93,0.0,False,0.005,public_noisy_censored_mixed_times
W03,460.0,240.0,221.29999999999998,1956.4,5.36,0.0,False,0.005,public_noisy_censored_mixed_times
W03,460.0,240.0,221.29999999999998,2146.2,5.88,0.0,False,0.005,public_noisy_censored_mixed_times
W03,460.0,240.0,221.29999999999998,2339.65,6.41,0.0,False,0.005,public_noisy_censored_mixed_times
W03,460.0,240.0,221.29999999999998,2562.2999999999997,7.02,0.005608812554066522,True,0.005,public_noisy_censored_mixed_times
